epoch,total,cell,neighborhood,cell_recon,niche_recon,cell_vq,niche_vq,cell_perplexity,neighborhood_perplexity,cell_active_codes,neighborhood_active_codes,cell_usage_gini,neighborhood_usage_gini,cell_usage_entropy_norm,neighborhood_usage_entropy_norm,learning_rate,grad_norm,val_total,epoch_seconds,cells_per_second
1,4.443679852145059,1.027779829289232,3.4159000303064073,0.4969712011516094,0.3757135900003569,0.5308086212192263,3.040186439773866,6.64660832285881,2.0575510816914693,256.0,32.0,0.956092041220179,0.835761729946642,0.36638036358826825,0.5539455889316987,0.0003,748.2679411215441,,2.28,49735.84
2,3.153731937919344,0.38336367692266193,2.770368265254157,0.32020099620733944,0.3112065462129457,0.06316267865310822,2.45916172010558,2.5301201279674257,3.035471192428044,20.0,11.0,0.9837724139546677,0.9065912047448956,0.30333823777882685,0.37817818457365115,0.0003,3.167257231261049,,1.726,65708.71
3,1.964418032339641,0.3136419323938234,1.6507761073963982,0.27180845396859304,0.2951767295598984,0.041833479955260246,1.355599386351449,2.6167059370449612,6.693220113004957,25.0,9.0,0.9845833264430921,0.820731633373021,0.28513106350753087,0.5504691825986798,0.0003,0.9457237350621394,,1.712,66241.45
4,1.8561100299869264,0.2911748859499182,1.564935149891036,0.2583378681114742,0.2881496958434582,0.03283701757235186,1.2767854503222875,2.901802742055484,8.099163327898298,11.0,9.0,0.9827730533690524,0.7849778961061868,0.31611042554103563,0.6067991736279836,0.0003,0.49668985711676733,,1.708,66403.61
5,1.8417662850448064,0.2811368006680693,1.5606294785227095,0.2527835440954992,0.2827614870454584,0.028353258767830476,1.2778679898806982,4.6895171616758615,8.41490536076682,8.0,9.0,0.9833102165740619,0.7709725162058474,0.30532944310174626,0.615471832632432,0.0003,0.3372534198154296,,1.712,66248.27
6,1.8321693284170968,0.2759594145630087,1.5562099197081156,0.2495301411088024,0.278245923774583,0.026429273953129138,1.2779640001910073,4.976035841873714,8.449230228151594,9.0,9.0,0.9824255785046523,0.7709780283988181,0.31254137216238675,0.6165675497997617,0.0003,0.37973658574212876,,1.734,65405.26
7,1.7539718129805155,0.27227683365345,1.4816949835845403,0.2465581311179059,0.2748980053833553,0.025718702069882835,1.2067969696862357,2.724039384296962,8.913953355380468,7.0,11.0,0.9913624969682939,0.7571076972262645,0.18201878403872365,0.6382742446350785,0.0003,0.4063189286472542,,1.708,66392.24
8,1.584921685712678,0.27043719749365536,1.3144844962017876,0.2469602714159659,0.27381063412342754,0.023476925312674472,1.0406738530312265,5.373270605291639,9.085301407745906,9.0,17.0,0.9815297093420647,0.7096614962296599,0.3116679892302123,0.7098460234949189,0.0003,1.5055326239338942,,1.711,66277.73
9,1.2170360279934747,0.2691011806683881,0.9479348499860082,0.24565178262335913,0.27352058195642065,0.023449399042874575,0.6744142706905093,5.941292081560407,11.624734912599836,13.0,25.0,0.9808132620606782,0.6250647682674075,0.3326466177715523,0.7861027559677848,0.0003,2.0603514090180397,,1.711,66256.42
10,0.9864262778844152,0.2672935112246445,0.7191327629344804,0.24170480801590852,0.27129512652754784,0.025588700281722204,0.4478376364069326,22.161932110786438,17.14427658489772,206.0,29.0,0.9187851746813953,0.5370819001631608,0.5205300890860779,0.8547625386309736,0.0003,2.0746617998395647,,1.717,66034.64
11,0.7798901860203061,0.2625546612377678,0.5173355282417366,0.2381408547184297,0.26828310425792423,0.024413805588015487,0.24905242478208883,55.09180586678641,21.867382322038925,175.0,30.0,0.7769758800216078,0.4275893526480574,0.780596967844274,0.9044735231935728,0.0003,1.284485858465944,,1.714,66151.5
