epoch,total,cell,neighborhood,cell_recon,niche_recon,cell_vq,niche_vq,cell_perplexity,neighborhood_perplexity,cell_active_codes,neighborhood_active_codes,cell_usage_gini,neighborhood_usage_gini,cell_usage_entropy_norm,neighborhood_usage_entropy_norm,learning_rate,grad_norm,val_total,epoch_seconds,cells_per_second
21,1.4890429377555847,0.6968511492013931,0.792191743850708,0.6287836283445358,0.6907224208116531,0.06806750781834126,0.10146932117640972,61.116615295410156,14.918892621994019,64.0,16.0,0.12485221753578735,0.10352760736196309,0.9915964696381349,0.9762066643273452,0.0003,0.44580797106027603,,0.073,107710.63
22,1.4725879430770874,0.686640590429306,0.785947322845459,0.6227858513593674,0.6884427815675735,0.06385474093258381,0.09750453196465969,61.15947341918945,14.989595413208008,64.0,16.0,0.1287864263803682,0.07972264826175879,0.9919212492983432,0.9773685184701653,0.0003,0.41551779210567474,,0.072,108206.13
23,1.460893154144287,0.6776535212993622,0.7832396328449249,0.618148609995842,0.6858374029397964,0.05950490850955248,0.09740222990512848,61.34353256225586,14.979517698287964,64.0,16.0,0.12098590874233128,0.09269555214723924,0.9924618822905036,0.9770431544275311,0.0003,0.4901222810149193,,0.072,108413.14
24,1.4533101320266724,0.6715632528066635,0.7817468494176865,0.6142517626285553,0.6835022121667862,0.05731149576604366,0.09824462421238422,61.29960632324219,14.95851469039917,64.0,16.0,0.12204834483640092,0.09688139059304701,0.992802721133113,0.9770290109150355,0.0003,0.39381028711795807,,0.074,105506.56
25,1.438683420419693,0.6624349057674408,0.776248499751091,0.6101506948471069,0.6817805171012878,0.05228419788181782,0.09446798078715801,61.774959564208984,15.014160394668579,64.0,16.0,0.11003802402862983,0.08533039366053163,0.9943400690549699,0.9778449318134383,0.0003,0.44045262783765793,,0.073,107888.18
26,1.4255808293819427,0.6547629088163376,0.7708178907632828,0.6073645353317261,0.6803665608167648,0.04739837255328894,0.09045132622122765,62.35214710235596,15.075182437896729,64.0,16.0,0.09160515720858897,0.09089020961145189,0.9964863129811893,0.9792694974177915,0.0003,0.5347419530153275,,0.072,108737.24
27,1.4097301065921783,0.6493372023105621,0.760392889380455,0.6040357798337936,0.6786108762025833,0.045301418751478195,0.08178201131522655,62.52863693237305,15.20325231552124,64.0,16.0,0.07840059432515334,0.0762877044989776,0.9973803506400402,0.9824301624370186,0.0003,0.4521367475390434,,0.073,107776.56
28,1.3919792473316193,0.6459548771381378,0.7460243850946426,0.6010885685682297,0.6778085976839066,0.044866299256682396,0.06821577437222004,62.545602798461914,15.416929721832275,64.0,16.0,0.07667513420245409,0.0717823364008181,0.9974680366534315,0.9875446161480426,0.0003,0.6551253646612167,,0.076,102712.08
29,1.3629807531833649,0.6433068066835403,0.7196739017963409,0.5991113781929016,0.6765936613082886,0.044195421040058136,0.04308024328202009,62.67386531829834,15.809121131896973,64.0,16.0,0.07163455393660523,0.05497507668711665,0.9977603695123314,0.9966220026759701,0.0003,0.35366808623075485,,0.073,107337.17
30,1.3542491793632507,0.6417246460914612,0.7125245332717896,0.5967487096786499,0.6758445799350739,0.04497592430561781,0.036679958924651146,62.59139919281006,15.912739753723145,64.0,16.0,0.07218973670756657,0.04163471370143146,0.9979054787542221,0.9989737288292387,0.0003,0.2963969483971596,,0.072,108019.77
31,1.350195050239563,0.6382557302713394,0.7119393050670624,0.5943345576524734,0.6742917448282242,0.04392117913812399,0.03764756675809622,62.575490951538086,15.898163318634033,64.0,16.0,0.0809967727505112,0.04802530674846617,0.9973977162562718,0.9984675455415626,0.0003,0.3134158179163933,,0.072,108252.13
32,1.345952183008194,0.6360049694776535,0.7099472284317017,0.592218741774559,0.6735027581453323,0.04378623329102993,0.036444470286369324,62.445509910583496,15.909658193588257,64.0,16.0,0.08049750766871155,0.046986835378323155,0.9970252310909964,0.9986341249006574,0.0003,0.31572000309824944,,0.073,106812.33
33,1.340795874595642,0.6337286829948425,0.7070671766996384,0.5898071527481079,0.6716853082180023,0.04392154049128294,0.0353818628937006,62.604729652404785,15.931305885314941,64.0,16.0,0.075960186605317,0.04149092535787324,0.997470831818693,0.9990012240375913,0.0003,0.2858848087489605,,0.075,104221.59
34,1.3379356563091278,0.6329506635665894,0.7049849778413773,0.588796392083168,0.6708745509386063,0.04415428079664707,0.03411042969673872,62.571085929870605,15.949612617492676,64.0,16.0,0.06989311733128845,0.02268660531697342,0.9976316423677675,0.9996888751766565,0.0003,0.26567720249295235,,0.076,103289.98
35,1.3341760039329529,0.6292832344770432,0.7048927396535873,0.5874059945344925,0.6701062470674515,0.041877225041389465,0.03478649351745844,62.59602165222168,15.937666416168213,64.0,16.0,0.07751789366053163,0.024795501022494948,0.9973540922460683,0.9996584187953128,0.0003,0.24175603687763214,,0.074,105463.97
36,1.3308217823505402,0.6278894245624542,0.7029323726892471,0.5851636379957199,0.6689668595790863,0.04272577911615372,0.033965510316193104,62.50934982299805,15.942526817321777,64.0,16.0,0.07415084994887522,0.020689544989775044,0.9973764050409025,0.9997522799026304,0.0003,0.26367298886179924,,0.075,104310.15
37,1.328297346830368,0.6260111629962921,0.7022862285375595,0.583664134144783,0.6687137931585312,0.04234702978283167,0.03357244096696377,62.56574630737305,15.954370975494385,64.0,16.0,0.07284876661554196,0.01985876789366059,0.9975959340974154,0.9997353565573764,0.0003,0.23341142013669014,,0.075,104686.44
38,1.3245145678520203,0.6239339709281921,0.7005805671215057,0.5824891328811646,0.6673038303852081,0.04144483432173729,0.03327674325555563,62.799917221069336,15.952164649963379,64.0,16.0,0.0640776776584866,0.023549335378323155,0.9977696839549266,0.9996709916337666,0.0003,0.24536651372909546,,0.073,106643.94
39,1.3227141201496124,0.6235368102788925,0.6991772949695587,0.5810708552598953,0.6661289930343628,0.042465951293706894,0.03304830938577652,62.5178747177124,15.957117319107056,64.0,16.0,0.06392190695296529,0.017366436605317004,0.997798159804721,0.9998308279309305,0.0003,0.24795478582382202,,0.073,107701.88
40,1.3210799098014832,0.621643140912056,0.6994367837905884,0.5801025032997131,0.6658891439437866,0.04154063202440739,0.033547635190188885,62.621989250183105,15.943540811538696,64.0,16.0,0.0785723415132924,0.015688905930470343,0.9972855552838213,0.9998624779606767,0.0003,0.2503715008497238,,0.074,105052.98
